Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13
150 - 175 m,3.046955124054842e-10,1.1055042261791853e-09,2.2990123265288703e-08,1.4749690256181538e-07,1.2647675587725167e-06,2.6158587343476283e-05,4.0871145957706806e-05,3.091470586993582e-06,5.617405035127058e-07,1.3600900953557426e-07,4.512327301431687e-09,2.9119072921571056e-10,7.801251075225141e-12
175 - 200 m,1.10072778594418e-07,2.8188399728026645e-07,2.491093933853254e-06,9.393549210158198e-06,5.041546349624599e-05,0.0004871904684782564,0.0006841874367961928,0.00010170304384557059,2.892349356374504e-05,1.1451825776579987e-05,8.308114333051128e-07,1.1061646903673331e-07,7.710245572478003e-09
200 - 225 m,3.659901048834249e-08,8.344618771779905e-08,5.618478510730897e-07,1.7499287258892413e-06,7.998827578734354e-06,5.9843102631660226e-05,8.095845298589827e-05,1.5087096957893989e-05,4.986674191979714e-06,2.3496834858012612e-06,2.2000843934094206e-07,3.737093786102979e-08,3.5927473305955518e-09
225 - 250 m,1.7354868416958998e-07,3.1277769048671213e-07,1.2360552397322833e-06,2.5650456368860388e-06,8.418912317397863e-06,3.733663783380238e-05,4.683590607766201e-05,1.3818164439967208e-05,6.204778995456625e-06,4.218555383605832e-06,6.547262123715566e-07,1.8245630728655827e-07,3.3776215340191576e-08
250 - 275 m,2.0718404324447536e-09,3.4233593684322185e-09,8.779258701356108e-09,1.9748579131038887e-08,6.377019773676385e-08,2.4650812487873286e-07,3.0601393810883634e-07,1.043677186311135e-07,5.141397119040912e-08,3.525456913354026e-08,7.011012787008709e-09,2.260017590742528e-09,5.066091309796329e-10
275 - 300 m,4.6521321137617244e-09,6.949929606173169e-09,1.8637794784299965e-08,2.6923521312167676e-08,6.674372062069696e-08,1.93729989991918e-07,2.2816581949980496e-07,9.751833956318788e-08,5.602537605617307e-08,5.233355839022662e-08,1.1983182865179952e-08,4.9944728182455646e-09,1.5703327612443205e-09
300 - 325 m,7.625792178796797e-09,1.0809686318971768e-08,2.1377700706440273e-08,3.393595009617085e-08,8.496171518978372e-08,2.2914744987757568e-07,2.692454363478348e-07,1.2494766194493492e-07,7.565709374700728e-08,6.891013336940281e-08,1.863606609267524e-08,8.40943927745927e-09,2.9366220112305455e-09
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
