Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13
150 - 175 m,3.0293504658056807e-10,1.1509296694919902e-09,3.712828750505126e-08,2.0184119521581828e-07,1.353621144657387e-06,2.6304060102350466e-05,4.056639129320063e-05,2.8878129932837706e-06,4.415386061317708e-07,5.596416251405241e-08,4.114246346706268e-09,2.8763014815894185e-10,8.005550930940134e-12
175 - 200 m,1.15539750547531e-07,3.0980982100893274e-07,4.450101381703454e-06,1.3741042285155062e-05,5.57521647900724e-05,0.000496725175551367,0.0006736182217309236,9.331850152480352e-05,2.1896872932463105e-05,4.1593087802475905e-06,7.419617293116098e-07,1.0792787811504716e-07,7.86202320117125e-09
200 - 225 m,3.891142429736058e-08,9.28776285693009e-08,1.0260716876831646e-06,2.591752079487353e-06,8.901049724599365e-06,6.108803165785751e-05,7.934845286100438e-05,1.3743156980566462e-05,3.731717286683233e-06,8.293715204761221e-07,1.9461846707659436e-07,3.618987866776915e-08,3.640215548897303e-09
225 - 250 m,1.8832611726548275e-07,3.550184343217821e-07,2.329205604810672e-06,3.886798271766554e-06,9.496202305186712e-06,3.836533875616062e-05,4.5718428832767085e-05,1.2477442179139874e-05,4.572139317080541e-06,1.4304727338816035e-06,5.698762606095187e-07,1.7402005531136297e-07,3.364695706987361e-08
250 - 275 m,2.3161881962133796e-09,4.054627828582352e-09,2.0777371791766652e-08,3.3903292907723437e-08,7.463349301171311e-08,2.56314886204452e-07,2.9593458444731025e-07,9.100733017273962e-08,3.443475983621383e-08,7.946125365867005e-09,5.7915027396282935e-09,2.0884517061796053e-09,4.923405211687285e-10
275 - 300 m,5.0888731084586226e-09,7.94817611343442e-09,3.484368462218567e-08,4.0712885551478146e-08,7.559630310624065e-08,1.997289543495445e-07,2.2206297657118903e-07,8.748667558113436e-08,4.113245548797036e-08,1.8016971625088864e-08,1.0310153565669689e-08,4.685077737192503e-09,1.5337536992981128e-09
300 - 325 m,8.553823844463858e-09,1.2775769252690767e-08,4.760557776973577e-08,5.659392805023304e-08,9.90268172921302e-08,2.383703323845721e-07,2.6017189882141966e-07,1.0932872654083096e-07,5.1702574250177004e-08,1.749990942706099e-08,1.5437593206088915e-08,7.728141769552427e-09,2.830833355583458e-09
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
