Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,1.3010999796442034e-11,4.890440960072619e-10,1.2172944118127726e-08,2.0555961381102782e-07,1.3897139740759541e-05,0.000208696538375504,0.00010697122142752729,4.080262551018943e-06,5.115746399132436e-08,2.4260557474293783e-09,1.4704124249198534e-10
175 - 200 m,3.0010178419647466e-09,4.794160237160443e-08,5.590739989474788e-07,4.846648166300296e-06,0.0001380946700188035,0.0009705186955804208,0.0005824529691966778,5.416409504782905e-05,1.67609210210556e-06,1.6301809608793683e-07,1.9157957306040973e-08
200 - 225 m,2.467749426486067e-08,2.149067057921001e-07,1.4641628372134553e-06,7.911409187322146e-06,0.00013073147330097546,0.0005061517099452475,0.0003397614640650731,6.304616920124726e-05,3.4587276258224264e-06,5.591737248446549e-07,1.0520615229194164e-07
225 - 250 m,2.3738907630352242e-07,1.3530222565344715e-06,6.330647715917229e-06,2.4582327896830574e-05,0.00025347631615941135,0.0006993083422140689,0.0005075518781209444,0.0001412173693357973,1.2641806783967883e-05,2.9193388254740702e-06,7.620906248045788e-07
250 - 275 m,7.626905269028491e-07,2.999422313145975e-06,1.0101244561314202e-05,2.9373789970719896e-05,0.0002088054484435268,0.00041351814175635533,0.00032139066300417073,0.00013208614021478258,1.7424762262324134e-05,5.493978989166809e-06,1.9115306801157193e-06
275 - 300 m,6.666467064354993e-07,2.1766104621266773e-06,6.217637552366442e-06,1.5641054181716813e-05,0.00010331854048714158,0.0001570498536613871,0.00012635036719278167,6.977890901618879e-05,9.983360878473662e-06,3.673553753271847e-06,1.4784668170399301e-06
300 - 325 m,4.6039791978965244e-07,1.3265072951112142e-06,3.391044880341279e-06,7.737935412580557e-06,4.09900805086764e-05,6.053061036990283e-05,4.982586502160466e-05,2.886080978902655e-05,5.175366502866229e-06,2.118075819311016e-06,9.378880534469792e-07
325 - 350 m,1.0329578672907375e-07,2.465792083763351e-07,5.335420290356611e-07,1.051434202143772e-06,4.560059935873381e-06,5.749386076983414e-06,4.899689777934469e-06,3.4249984713765564e-06,7.559318681830005e-07,3.62339378743572e-07,1.8557862626847754e-07
350 - 375 m,9.869256646375985e-08,2.0483792181592003e-07,3.9155411295877954e-07,6.91927355125412e-07,2.61324456199821e-06,2.902869133776357e-06,2.5385559325262433e-06,2.0598859217200687e-06,5.24998719233131e-07,2.829820058210473e-07,1.6151883102432075e-07
375 - 400 m,1.595897304108809e-08,2.9621576171090513e-08,5.128170176686068e-08,8.306276439490576e-08,2.7129309561689345e-07,2.8088167875294586e-07,2.5073436706663755e-07,2.2213105610695094e-07,6.576691193704721e-08,3.8950189238322387e-08,2.4231606624682823e-08
Above 400 m,1.3775918317801157e-06,1.4532042842056966e-06,1.5260026820376744e-06,1.5914625473245965e-06,4.298661566589136e-06,1.931210008863445e-06,1.9149079985643523e-06,4.312869259617401e-06,1.5744803199011912e-06,1.4903813862695828e-06,1.4433059834971262e-06
