Ship Length,Pier 1,Pier 2
150 - 175 m,4.893922149332561e-09,1.0436566456235462e-05
175 - 200 m,4.1266341752972726e-07,0.00016965277986633742
200 - 225 m,5.461096257381448e-07,5.300776862329573e-05
225 - 250 m,4.753343081053377e-06,0.0001882232816956076
250 - 275 m,1.2493904510209086e-05,0.00022055473144918925
275 - 300 m,4.102543086604716e-05,0.00044237781805763003
300 - 325 m,2.0558953979410897e-05,0.0001634843740926059
325 - 350 m,6.623161038587201e-05,0.0003605003070955732
350 - 375 m,3.386696766708703e-05,0.00013514709403622725
375 - 400 m,5.527548273839382e-07,1.6926076277493664e-06
Above 400 m,5.8989171858376966e-08,1.7040111012078186e-07
