Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,0.0,0.0,0.0,0.0,0.0
175 - 200 m,8.509585359355947e-06,8.814421229192706e-06,1.3362436440108832e-05,1.2182962803252643e-05,1.1503838341359938e-05
200 - 225 m,1.363889832218417e-06,1.3714324027796603e-06,2.061173697885917e-06,1.9046386426254378e-06,1.8014247763350184e-06
225 - 250 m,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0
