Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,1.0169265045141977e-05,1.4875602514150384e-05,1.541297926123112e-05,1.0048673176559958e-05
175 - 200 m,6.885577904398688e-05,9.798357515130175e-05,0.00010133489332313202,6.81159609344791e-05
200 - 225 m,5.440736524352707e-07,6.80807977775388e-07,6.964455899144848e-07,5.405260316913123e-07
225 - 250 m,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0
275 - 300 m,7.499544023556304e-07,9.533171085315071e-07,9.773582042807255e-07,7.449760614481924e-07
300 - 325 m,7.045483134731558e-07,8.970581901310215e-07,9.199059157410683e-07,6.998692097159419e-07
325 - 350 m,4.221177513435673e-07,5.11351955369573e-07,5.219118825891298e-07,4.1993205048267087e-07
350 - 375 m,3.3973847389722803e-07,4.205979747134665e-07,4.3025521712371494e-07,3.377934605638339e-07
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
