Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20,Pier 21,Pier 22
150 - 175 m,2.9804829373263045e-06,3.945875069896572e-06,5.09541406873805e-06,6.5330936403340715e-06,8.081419758425787e-06,9.897982177594455e-06,1.2010752326839564e-05,1.414088516570755e-05,1.656066941458516e-05,1.8663725166865874e-05,2.087483139875939e-05,2.3499800746362097e-05,3.548086626686512e-05,3.430036974193905e-05,2.0905052973337255e-05,1.8947303761685625e-05,1.6764907978846715e-05,1.4407226679845868e-05,1.2223870483367018e-05,1.017949280388034e-05,8.356338671945593e-06,6.669795509268028e-06
175 - 200 m,5.42335773135216e-06,6.882941742211188e-06,8.537517361282e-06,1.054341536413456e-05,1.2614247216145073e-05,1.4969039585100382e-05,1.7642572362916382e-05,2.0258142722792245e-05,2.3183783255550376e-05,2.5624926636464053e-05,2.8179467263199706e-05,3.12278043273187e-05,4.5910793784990306e-05,4.457267216225127e-05,2.822798130782181e-05,2.597970459712843e-05,2.3437906386813368e-05,2.06017009759477e-05,1.7924835578147472e-05,1.5365300122170096e-05,1.300057795846578e-05,1.0747680403711236e-05
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,1.1115918190126781e-07,1.287414268991188e-07,1.4639448686562018e-07,1.6668937271664932e-07,1.855619336634583e-07,2.056644335608895e-07,2.27575023694233e-07,2.475442020887126e-07,2.694683002723395e-07,2.8561852367572215e-07,3.027858473444148e-07,3.2421282107574235e-07,4.4796656162498434e-07,4.389843473138883e-07,3.034673894675475e-07,2.8870513748538263e-07,2.7160629318987793e-07,2.507086348580529e-07,2.3033101974347114e-07,2.1017295463255325e-07,1.8984724931863674e-07,1.6932650410653816e-07
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,1.8433262715698028e-06,2.0256167333386067e-06,2.1949860827353164e-06,2.385592362842381e-06,2.5513738161960646e-06,2.721885816849896e-06,2.904691737487228e-06,3.0641878411480843e-06,3.2387971166438784e-06,3.356012370471259e-06,3.483867781631211e-06,3.6500825243961253e-06,4.721718630503774e-06,4.654751151121881e-06,3.4910856130824973e-06,3.383311666828369e-06,3.257319231283968e-06,3.093092213275359e-06,2.930710505510485e-06,2.768178558584431e-06,2.594849882318097e-06,2.414697334819895e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
