Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,6.419465727205884e-06,3.3496554686108113e-06,5.100759406826677e-06,6.001637588034109e-06
175 - 200 m,5.7405367501297396e-05,2.287087877502487e-05,3.9076672372079146e-05,5.7515688351652324e-05
200 - 225 m,0.000153114834801558,5.5592342110634376e-05,9.85240877484883e-05,0.00015772715390299837
225 - 250 m,0.00015301824300913218,5.580640968093073e-05,9.78753414327928e-05,0.00015936344952798774
250 - 275 m,1.121958108851736e-05,3.3916452378197406e-06,6.574177903638415e-06,1.1972333102120062e-05
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,0.0003597882377193122,6.873773088338927e-05,0.00017422894866143138,0.0004009071593798393
325 - 350 m,1.998730494623976e-06,3.3281064060187855e-07,9.304695317377061e-07,2.303425139055626e-06
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
