Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00023894200458511648,0.00021590568523942728,1.2998173974355572e-05
175 - 200 m,0.0025889609511349503,0.0023782418997117857,0.00024091663243853962
200 - 225 m,0.00036742923709712477,0.00034377735824835874,5.3720134008010655e-05
225 - 250 m,0.0008052314197376894,0.0007562483133641444,0.00014334391511112778
250 - 275 m,4.910964071400731e-05,4.6754345857044454e-05,1.2281853916881781e-05
275 - 300 m,4.104100197962503e-05,3.935267386729199e-05,1.2995756840011564e-05
300 - 325 m,5.717841542488716e-05,5.499299364779586e-05,1.989033858053176e-05
325 - 350 m,9.079337176552462e-06,8.777397903022518e-06,3.7379218633954336e-06
350 - 375 m,7.435437161754025e-07,7.210122472645844e-07,3.391647274149805e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
