Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,3.47055717497824e-18,3.1998683627366714e-07,4.289692988248258e-07,1.6429774644760339e-18
175 - 200 m,7.143057931813246e-13,9.113773887116163e-06,1.1075378247525886e-05,4.08941024145586e-13
200 - 225 m,3.2143633375003586e-11,1.7627863928777766e-05,2.0684588784759745e-05,1.962773306649084e-11
225 - 250 m,2.7656740994363994e-10,2.0990738865902313e-05,2.411261405164006e-05,1.7408500415083706e-10
250 - 275 m,9.250532066911177e-10,7.748967778433678e-06,8.673913860635003e-06,6.150707697959293e-10
275 - 300 m,0.0,0.0,0.0,0.0
300 - 325 m,2.1561697026263404e-07,0.0001108264513341752,0.00012019637415496793,1.513938407511883e-07
325 - 350 m,8.305118650556232e-08,1.5518941747399975e-05,1.6640001429759116e-05,5.9396076913179466e-08
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
