Ship Length,Pier 1,Pier 2
150 - 175 m,3.437864317848751e-05,3.825727793558113e-05
175 - 200 m,0.00046642263849410186,0.0005582465020604161
200 - 225 m,4.539266015285343e-05,5.4219886702773174e-05
225 - 250 m,6.009097754856537e-05,7.110154532380534e-05
250 - 275 m,2.89065864865691e-07,3.6557226253764406e-07
275 - 300 m,2.4418664092854436e-07,2.842811462492967e-07
300 - 325 m,0.0,0.0
325 - 350 m,0.0,0.0
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,7.444879129515193e-08,7.49421453877861e-08
