Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20,Pier 21,Pier 22,Pier 23,Pier 24,Pier 25,Pier 26,Pier 27,Pier 28,Pier 29,Pier 30,Pier 31,Pier 32,Pier 33,Pier 34,Pier 35,Pier 36,Pier 37,Pier 38,Pier 39,Pier 40,Pier 41,Pier 42,Pier 43
150 - 175 m,7.378290317211226e-23,6.308732730570037e-21,4.941150421153026e-19,3.2614369396260095e-17,1.5437794405172887e-15,5.5278746237207304e-14,1.5067479909874186e-12,3.3158981987762385e-11,5.276114814914808e-10,6.5264595098882346e-09,6.544237726874807e-08,6.767785411953574e-07,3.383962318124471e-06,1.3679423352939198e-05,4.309090581748445e-05,0.00017955531869553082,0.00013410138749314483,2.738693108222569e-05,7.281345202104824e-06,1.5663324951373589e-06,2.5004267867941143e-07,2.98666308807836e-08,1.0092318207674176e-08,6.004942782081463e-08,3.789224976207055e-07,2.202303479473816e-06,6.924378536990717e-06,1.675731953530065e-05,4.415087050054578e-05,1.6448717589104266e-05,2.432128499100319e-06,5.370379475852189e-07,9.156214855966383e-08,1.0851265370600771e-08,1.0399202157103106e-09,7.372316997944495e-11,5.272139535605902e-12,1.7164866861207884e-13,5.43176170708648e-15,1.2727952025670676e-16,2.163602630389505e-18,0.0,0.0
175 - 200 m,4.203147088192805e-18,1.435214129063803e-16,4.6097607859873825e-15,1.2905011202416913e-13,2.770683091087862e-12,4.771685002813746e-11,6.614542778216319e-10,7.73515042257207e-09,6.983373527516111e-08,5.145584218983133e-07,3.2306656766511496e-06,2.1064774351902566e-05,7.449970290014201e-05,0.00022612403991405412,0.0005636172655455387,0.001765957384824467,0.0013974290187842525,0.0003947185812442474,0.00013690931338836607,4.037490163840401e-05,9.385182397592677e-06,1.724433834879885e-06,4.2221263028493164e-07,9.226200053628704e-07,3.881609698255906e-06,1.593461977096568e-05,3.910543083380575e-05,7.869319815016469e-05,0.00017018141117876713,7.770763983101327e-05,1.7058521097181903e-05,5.116789540270831e-06,1.2531039210374709e-06,2.2831086232855216e-07,3.5370962823171765e-08,4.308541209069539e-09,5.379884558829319e-10,3.4730118114723045e-11,2.2366423033659544e-12,1.131059752523811e-13,4.435340095199082e-15,1.3585133018523266e-16,3.2933655802480647e-18
200 - 225 m,4.342430631521505e-16,6.890449751101663e-15,1.0621131246118033e-13,1.4646113728679645e-12,1.6353005055255733e-11,1.5400134564161976e-10,1.2222421460585933e-09,8.48592566545043e-09,4.7970970743370074e-08,2.2963401389515297e-07,9.836696327809548e-07,4.445410093180708e-06,1.1647761189054065e-05,2.788779132763956e-05,5.7337137689515575e-05,0.00014288250480440167,0.00011840204986193538,4.368047528410925e-05,1.8774370113729175e-05,7.190779789170161e-06,2.280078527495028e-06,6.00560456147641e-07,1.6901140051027478e-07,1.6026699691527855e-07,4.3704868656356105e-07,1.3524586007642286e-06,2.673433757676136e-06,4.602149644326773e-06,8.463375596026637e-06,4.5778437356859505e-06,1.3980354544704068e-06,5.384953500094061e-07,1.778386949551032e-07,4.585933404305376e-08,1.0565037871830274e-08,2.0104641614691055e-09,4.0508260619454004e-10,4.521763128728651e-11,5.260138239648882e-12,5.024210407711393e-13,3.9210416247215103e-14,2.524797704239745e-15,1.434425911384096e-16
225 - 250 m,3.9464761779998875e-13,3.524566733278649e-12,3.106436541841263e-11,2.5019492572815976e-10,1.701948482302607e-09,1.0128387993757972e-08,5.2605595382950036e-08,2.456825349382708e-07,9.73548982135123e-07,3.3695071301361825e-06,1.0755549032924624e-05,3.6304776779844945e-05,7.675650398571619e-05,0.00015356739936405844,0.00027258854085855904,0.000567394786868984,0.00048770364679109494,0.00022053182118377595,0.00011208565194475934,5.231362614256395e-05,2.0996285132350334e-05,7.249987504045262e-06,2.404563948310757e-06,1.1975907418174346e-06,1.7187808570770644e-06,4.010352112899362e-06,6.762582722854458e-06,1.0371535835425966e-05,1.6848783194697747e-05,1.0351052001566732e-05,4.047291352786267e-06,1.8899816358680187e-06,7.832808588244311e-07,2.6478996669680187e-07,8.243448983810376e-08,2.2026799503037655e-08,6.278845261359802e-09,1.0790436341812095e-09,1.9586759434431226e-10,3.029843564839041e-11,3.9879691915434284e-12,4.509857960410813e-13,4.6212830229208636e-14
250 - 275 m,2.7246536998324627e-11,1.4957539522617925e-10,8.155567572890358e-10,4.1431631854067665e-09,1.8446228477285985e-08,7.404260793334739e-08,2.6730102653353894e-07,8.883421302000613e-07,2.5967144584591945e-06,6.823545783000836e-06,1.6878501964830467e-05,4.3882041224023596e-05,7.803836386557665e-05,0.0001339231956345159,0.00020947875273487338,0.00037192547269238263,0.0003302831343555247,0.0001779056649111303,0.00010478094740547269,5.78976277303834e-05,2.844577892020754e-05,1.2430795267332915e-05,5.1503256625634935e-06,2.3317637326862106e-06,1.8327867741817345e-06,2.8259471001398986e-06,4.038291254941334e-06,5.5917199771758425e-06,8.15362833088675e-06,5.580896098623948e-06,2.689276780976833e-06,1.4841878603358432e-06,7.472314109059507e-07,3.2024588914936313e-07,1.2902625479278427e-07,4.6138787891118586e-08,1.74767166364469e-08,4.401759573285924e-09,1.1662588440679577e-09,2.725361985895791e-10,5.61429911540845e-11,1.0279346475350337e-11,1.7435241836949448e-12
275 - 300 m,8.908109700845568e-12,3.9955467494629964e-11,1.794961598634885e-10,7.565034854147955e-10,2.8346198610809473e-09,9.702948477820619e-09,3.023578928615102e-08,8.756991686292321e-08,2.2623702068303983e-07,5.306425966338078e-07,1.1864064884448511e-06,2.797881058706984e-06,4.6007461850779855e-06,7.416674447931501e-06,1.102584323967013e-05,1.842076402541914e-05,1.6560422194426427e-05,9.57188175345907e-06,5.96735613026451e-06,3.531923146489022e-06,1.881056253643806e-06,8.974904246053872e-07,3.948874685250514e-07,1.554576026282062e-07,5.595064543156503e-08,1.9053472461623146e-08,4.6451157998361745e-09,1.184475532326479e-09,7.867127545413412e-11,1.3248882990701816e-13,3.346223298450468e-15,3.778477530858027e-16,3.923861235932691e-17,3.537170556455749e-18,2.997602166487923e-19,2.9976021664879227e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,9.922641608939141e-29,1.410341434040273e-27,2.079114529971291e-26,3.003743534186923e-25,3.846578440635503e-24,4.514858377664242e-23,4.870282665370067e-22,5.0506288408190856e-21,4.6373701858778376e-20,4.014138245153765e-19,3.335012692811464e-18,3.37565133012516e-17,2.285910248147662e-16,1.4393291056000926e-15,8.648623111786767e-15,2.0023386340970882e-13,3.647354492257301e-11,3.1293143184635216e-10,8.524437835398312e-10,2.267902767443082e-09,5.496218278057847e-09,1.2196245066062658e-08,2.5253492735771427e-08,4.6844885351537056e-08,8.183204887333651e-08,1.4790975184881357e-07,1.9551051510316665e-07,2.501123692188563e-07,3.3591306388416877e-07,2.515888048592632e-07,1.4469166644129163e-07,9.06677939404681e-08,5.3352220111451805e-08,2.7157861190612476e-08,1.3460215909328665e-08,6.06807453745839e-09,3.0188119417606798e-09,9.89336601321833e-10,3.5879801717442207e-10,1.169362958590714e-10,3.448447215781414e-11,9.314157366047127e-12,2.37805986902373e-12
325 - 350 m,3.3052604125018187e-11,9.791147353848415e-11,2.9249567131664884e-10,8.331729321869325e-10,2.176979320772733e-09,5.3322831125763286e-09,1.2197312871610121e-08,2.6455280267649353e-08,5.2767794407984365e-08,9.788613918379365e-08,1.7628867087653388e-07,3.3336731036407563e-07,4.7267814670218356e-07,6.68752571223178e-07,8.929129532470972e-07,1.3038965481305408e-06,1.2050045201853905e-06,8.081473202277784e-07,5.707802517221615e-07,3.899691663991085e-07,2.4657269075486955e-07,1.438269496560516e-07,7.921147796123074e-08,4.0168652977697675e-08,1.911434954506941e-08,8.81496235265855e-09,3.1271898936389155e-09,1.1543547983214885e-09,1.6064792997672052e-10,1.543504338341606e-12,1.0650368986730997e-13,2.1746718426030046e-14,4.185815694057738e-15,7.25995263906043e-16,1.2102319146833906e-16,1.866307108855381e-17,3.143485471923668e-18,3.7769787297747826e-19,4.796163466380676e-20,5.995204332975845e-21,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
