Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8
150 - 175 m,5.0999574207317535e-05,6.493735774386977e-05,7.731082409108223e-05,7.937537863758009e-05,6.701228562900466e-05,5.355119922369002e-05,4.0091950373388174e-05,2.801024623377129e-05
175 - 200 m,0.00027715177949453804,0.000336322420878864,0.00038625641917431816,0.00039476978725133135,0.000344939517687107,0.00028840107681541387,0.00022887497666449478,0.00017176440078910284
200 - 225 m,1.942098017804338e-05,2.275686724536091e-05,2.5429638074029133e-05,2.5921638098247196e-05,2.323801929035769e-05,2.0089870103577564e-05,1.6644211255307073e-05,1.3160553821543062e-05
225 - 250 m,1.2512497557177544e-05,1.4285918484947427e-05,1.5638082055229546e-05,1.591205678715919e-05,1.4541029242570293e-05,1.288869621880115e-05,1.1026213802807404e-05,9.063200678474199e-06
250 - 275 m,1.2642919216298365e-06,1.390168529888213e-06,1.4806532192949878e-06,1.5005923908430434e-06,1.408104416339542e-06,1.292590938742597e-06,1.1569362858943172e-06,1.0056201538547355e-06
275 - 300 m,5.630518650431211e-06,6.122270694182984e-06,6.464941410037015e-06,6.54592510611297e-06,6.192514849565203e-06,5.745188902829729e-06,5.213015988560534e-06,4.607346187339245e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,3.624320289679919e-07,4.1166885440510013e-07,4.288809633039492e-07,4.3283335178156214e-07,4.151877398372672e-07,3.925104602683875e-07,3.6495082824856985e-07,3.327455307381557e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
