Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8
150 - 175 m,5.063261061026363e-05,6.435980837067905e-05,7.64622832844433e-05,7.817076323002038e-05,6.585973810970272e-05,5.254472910259879e-05,3.927758947418897e-05,2.7400938461228984e-05
175 - 200 m,0.0002816922783621346,0.00034129083401298927,0.00039122915521877316,0.00039849431756362367,0.0003476826202119923,0.00029038131196856994,0.00023022633715467849,0.00017263240195006967
200 - 225 m,1.9791995588398914e-05,2.31699891677893e-05,2.585911189853312e-05,2.6286899803949997e-05,2.3530871077560106e-05,2.031804370859093e-05,1.6812567028436585e-05,1.3277278751298575e-05
225 - 250 m,1.2826350004397442e-05,1.4631307463104955e-05,1.5997956659194404e-05,1.6241054659573152e-05,1.4824911815207212e-05,1.3128385925533166e-05,1.1221419932170937e-05,9.215731819324728e-06
250 - 275 m,1.2686696256882192e-06,1.3945632860324682e-06,1.4845404182885132e-06,1.5020966938033055e-06,1.4080210836552692e-06,1.2912545749477572e-06,1.1545333410185528e-06,1.0024162673364129e-06
275 - 300 m,5.641908717449037e-06,6.131224356038147e-06,6.4698216291716985e-06,6.541464885366472e-06,6.183918258217947e-06,5.733962559257045e-06,5.199989806509914e-06,4.593400728813078e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,3.629743185560326e-07,4.121194614034387e-07,4.29123296158113e-07,4.326125589871033e-07,4.14756199832512e-07,3.91936167399672e-07,3.6426795461110474e-07,3.3199130528519464e-07
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
