Ship Length,Pier 1,Pier 2,Pier 3,Pier 4
150 - 175 m,0.0003865746802487813,0.0003579523289856274,5.6119476860092486e-05,4.702448041898324e-05
175 - 200 m,0.0019878929382893137,0.0018875367796336788,0.0004416660319713231,0.0003863045935094903
200 - 225 m,0.0002274615358375928,0.00022082571706141577,6.617620341686045e-05,5.97229752800724e-05
225 - 250 m,0.00018631509292307613,0.00018347292394756048,6.664160270601346e-05,6.149308085886919e-05
250 - 275 m,0.0002877187324818147,0.0002861261334061169,0.00012291878908137006,0.00011543294645936185
275 - 300 m,0.00037805136752347857,0.0003796458412070321,0.00018228848018669142,0.00017358686512623125
300 - 325 m,4.622816069868148e-05,4.647596746636279e-05,2.379581445935722e-05,2.277206693988211e-05
325 - 350 m,5.763562995733224e-05,5.808511652692366e-05,3.263714289116375e-05,3.147592537567293e-05
350 - 375 m,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0
