Ship Length,Pier 1,Pier 2
150 - 175 m,1.5906772729172918e-07,9.969327742866167e-07
175 - 200 m,7.81287047571918e-06,3.2265000373071024e-05
200 - 225 m,5.539538217768145e-06,1.662196128094375e-05
225 - 250 m,2.830263273958393e-05,6.721463411749585e-05
250 - 275 m,6.138001640620655e-05,0.00012043807281523271
275 - 300 m,0.00013976421121390353,0.0002372371439085113
300 - 325 m,9.578938992099526e-05,0.00015349638689675631
325 - 350 m,0.00023461181605259905,0.00034647840146258935
350 - 375 m,0.0001410927515905227,0.00019565732646871433
375 - 400 m,1.292511982222494e-06,1.694963603499838e-06
Above 400 m,6.531019612328881e-07,6.285166901421451e-07
