Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.00015838346068870144,0.0002837679608713163,1.820278019431508e-05
175 - 200 m,0.001602597703416021,0.0025164368916562444,0.00029930499937588854
200 - 225 m,0.00016397482699767398,0.00023326277447464883,4.385250233349353e-05
225 - 250 m,0.0008235751097478263,0.0011003330677180792,0.00027777658335788194
250 - 275 m,0.0001272413947927443,0.0001605041095939031,5.318342315932639e-05
275 - 300 m,1.9748399215224722e-05,2.3869213685016128e-05,9.632837797182336e-06
300 - 325 m,1.094115962676281e-06,1.2980897140392518e-06,5.701495194523192e-07
325 - 350 m,6.7293098378973815e-06,7.719285287894269e-06,3.976080988448935e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,2.555057530583659e-07,2.800371378724212e-07,1.7802772425111124e-07
