MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1193046,2018-10-30T19:04:27,29.6747,-91.09938,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-10-30T19:07:13,30.3697,-88.56458,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:22:34,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:25:38,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:27:48,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:29:03,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:42:54,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:43:59,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:45:59,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:55:34,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T16:57:23,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:06:38,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:26:59,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:38:44,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:41:14,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:52:17,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T17:53:48,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T18:06:35,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T18:11:25,30.36974,-88.56471,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T18:25:38,29.67477,-91.09935,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T18:41:49,29.67462,-91.09878,1.5754390983721245,12.5,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-01T18:51:35,30.37084,-88.56282,1.9357817581257533,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,50,A
1193046,2018-11-18T12:04:30,33.0648,-78.55741,8.119311254971716,241.0,249,NAUTICAST,IMO303174162,D11233,50,7,220,43,3.0,36,A
1193046,2018-11-18T12:11:37,29.9372,-90.14172,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,-0.800000011920929,52,A
1193046,2019-05-16T21:30:11,40.84954,-71.79404,5.175621329868665,31.0,33,NAUTICAST,IMO303174162,D11233,50,8,220,43,-0.800000011920929,50,A
1193046,2019-05-16T21:41:59,29.55927,-90.71318,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220,43,3.0,36,A
351373000,2021-12-13T00:29:46,29.96844,-90.02593,3.046916203369952,15.800000190734863,18,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
351373000,2021-12-13T00:30:47,29.96955,-90.02557,4.929520283630251,18.0,18,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
351373000,2021-12-24T09:36:49,29.9692,-90.02589,2.684618883346268,195.1999969482422,197,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
351373000,2021-12-24T09:37:57,29.96837,-90.02607,2.684618883346268,198.5,196,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
351373000,2022-01-06T01:42:50,29.9684,-90.02594,3.777547180632326,16.600000381469727,17,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
351373000,2022-01-06T01:43:51,29.96973,-90.02555,5.1105929298225945,16.100000381469727,17,E PIONEER,IMO9278686,HPOS,80,0,179,32,12.0,70,A
