MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,TranscieverClass
1193046,2016-11-09T07:57:00,40.12359,-70.73357,8.46921795782767,161.0,160,NAUTICAST,IMO303174162,D11233,50,8,220.0,43.0,-0.800000011920929,50,,
1193046,2016-11-09T08:17:14,29.26318,-89.96267,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,,
1193046,2017-10-30T14:23:51,29.26331,-89.9624,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-10-30T14:33:38,36.95774,-76.33533,7.0499381473451805,9.300000190734863,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-10-30T14:34:47,36.95998,-76.33506,7.0499381473451805,2.700000047683716,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-10-30T14:42:20,29.26331,-89.9624,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-10-30T14:58:41,29.26331,-89.9624,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-10-30T15:12:47,37.00094,-76.2492,8.533240222004427,75.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
367822000,2019-12-21T15:34:12,36.97303,-76.43391,0.0,0.1000000014901161,239,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
367822000,2019-12-21T15:54:17,35.56345,-75.69252,18.777171383591764,313.29998779296875,239,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
367822000,2019-12-21T15:55:25,35.55976,-75.68685,18.777171383591764,185.3999938964844,239,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
367822000,2019-12-21T16:15:34,36.97309,-76.43393,0.086509725941115,0.1000000014901161,239,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
369980000,2020-06-05T12:10:44,37.7808,-122.25115,0.0626559238808228,34.0,124,USS FORREST SHERMAN,,NFPS,90,5,155.0,20.0,,,A,
369980000,2020-06-05T12:11:45,36.89869,-75.89005,15.014208248075258,313.6000061035156,511,USS FORREST SHERMAN,,NFPS,90,0,155.0,20.0,,,A,
367821000,2020-06-10T18:18:07,36.20766,-76.30231,36.1555108086456,359.6000061035156,511,YANO,IMO7825409,NAQH,70,0,276.0,32.0,13.0,70,A,
367821000,2020-06-10T20:45:58,36.97287,-76.43366,0.0972940715950631,0.0,511,YANO,IMO7825409,NAQH,70,0,276.0,32.0,13.0,70,A,
367822000,2020-09-10T23:29:51,35.41016,-75.92201,33.78147655612681,203.3000030517578,239,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
367822000,2020-09-10T23:37:25,36.97302,-76.43383,0.0139271481274959,0.1000000014901161,240,USNS SHUGHART,IMO7825394,NAOQ,70,5,276.0,32.0,13.0,70,A,
367821000,2021-03-27T08:50:46,34.70859,-70.54782,33.52102540024231,126.5,511,YANO,IMO7825409,NAQH,70,5,276.0,32.0,13.0,70,,A
367821000,2021-03-27T11:22:01,38.39494,-80.30032,21.229477964747677,191.1999969482422,511,YANO,IMO7825409,NAQH,70,5,276.0,32.0,13.0,70,,A
