MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368109530,2022-02-07T19:31:39,28.95675,-95.29275,4.072990796611218,220.5,225,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-07T19:32:50,28.95583,-95.29386,4.072990796611218,227.6000061035156,227,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-08T03:34:28,28.9553,-95.29434,5.568621667047328,44.09999847412109,40,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-08T03:35:38,28.95662,-95.29295,5.171333934400478,41.5,36,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-10T05:24:52,28.95687,-95.29261,5.954178032334113,223.1999969482422,228,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-10T05:25:58,28.9556,-95.29414,6.380208941107592,226.1999969482422,226,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-13T13:57:58,28.95605,-95.29332,2.737677316084436,46.70000076293945,37,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
368109530,2022-02-13T13:58:59,28.95664,-95.29275,2.737677316084436,36.400001525878906,36,DARIAN ALEXANDRA,,WDL2161,56,12,278,17,3.0999999046325684,56,A
367653470,2024-01-01T01:48:54,28.9551,-95.29472,6.303837048859616,49.79999923706055,44,CAPT PETE,,WDH7978,60,12,220,16,2.5999999046325684,57,A
367653470,2024-01-01T01:50:04,28.95645,-95.29297,6.303837048859616,50.20000076293945,35,CAPT PETE,,WDH7978,60,12,220,16,2.5999999046325684,57,A
367538940,2024-01-06T22:50:07,28.95618,-95.29338,5.0820531871560295,48.59999847412109,511,RITA ANN,IMO101240460,WDG4670,30,0,205,18,3.0999999046325684,57,A
367538940,2024-01-06T22:51:16,28.95737,-95.29212,5.0820531871560295,33.0,511,RITA ANN,IMO101240460,WDG4670,30,0,205,18,3.0999999046325684,57,A
367395010,2024-01-11T03:59:05,28.9565,-95.29311,4.403253129779454,226.0,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
367395010,2024-01-11T04:00:05,28.95565,-95.29415,4.656776977361818,226.3000030517578,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
367395010,2024-01-19T11:06:24,28.9557,-95.29392,3.2388440860527954,47.29999923706055,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
367395010,2024-01-19T11:07:25,28.95629,-95.29317,3.605832349818317,52.0,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
367395010,2024-01-31T23:26:13,28.95637,-95.29321,3.527783084818149,226.6000061035156,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
367395010,2024-01-31T23:27:22,28.95563,-95.29413,3.4885038970370674,226.5,511,SALVATION,IMO101218049,WDE7579,30,12,207,18,3.0,57,A
