MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,TranscieverClass
367821000,2015-05-22T05:35:11,29.892,-89.90211,0.0,0.0,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.029999732971191,70,,
367821000,2015-05-22T06:29:41,30.98479,-90.79733,8.357306381920417,297.1000061035156,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.029999732971191,70,,
311000317,2015-06-30T00:41:17,54.46147,-166.87577,11.834478235003152,96.9000015258789,98,AFRICAN ROOK,IMO9700299,C6BO3,1004,0.0,183.0,30.600000381469727,10.0,,,
311000317,2015-06-30T01:53:29,26.52157,-78.76296,0.0160255190849973,124.4000015258789,511,AFRICAN ROOK,IMO9700299,C6BO3,1004,,183.0,30.600000381469727,10.0,,,
311000317,2015-06-30T02:05:29,26.52156,-78.76294,0.0053876137256544,124.4000015258789,511,AFRICAN ROOK,IMO9700299,C6BO3,1004,,183.0,30.600000381469727,10.0,,,
311000317,2015-06-30T02:10:47,54.42937,-166.34206,12.409169326046552,95.6999969482422,96,AFRICAN ROOK,IMO9700299,C6BO3,1004,0.0,183.0,30.600000381469727,10.0,,,
367821000,2016-02-15T03:14:09,29.24443,-89.43,26.50376178119969,137.10000610351562,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367821000,2016-02-15T04:20:28,30.57806,-90.2667,38.56132113090041,132.10000610351562,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367821000,2016-02-15T04:54:58,31.09684,-90.41253,33.88120187009607,0.0,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367821000,2016-02-15T06:03:45,29.8919,-89.90209,0.0465605414246298,0.0,511,YANO,IMO7825409,NAQH,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
1193046,2016-02-29T03:13:20,43.36229,-124.19585,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,,
1193046,2016-02-29T03:43:38,26.33436,-80.03925,3.2701409251739118,190.8000030517578,511,NAUTICAST,IMO303174162,D11233,50,0,220.0,43.0,,,,
1193046,2016-04-19T00:01:04,32.69109,-117.23716,-39.16278617345191,56.70000076293945,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,,
1193046,2016-04-19T00:02:05,30.08278,-88.86201,3.0119963822376468,100.0999984741211,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,,
1193046,2016-04-19T06:18:27,29.95848,-88.61049,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,,
1193046,2016-04-19T08:03:35,32.68744,-117.1319,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,,,,
1193046,2016-07-24T12:28:53,32.68739,-117.13193,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-07-24T12:58:05,30.07737,-89.8442,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-07-24T15:14:46,30.07742,-89.84439,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-07-24T15:28:23,32.68739,-117.13193,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-07-24T15:29:24,32.68739,-117.13193,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-07-24T15:34:36,30.07747,-89.84429,0.1873712760488335,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
367196000,2016-08-03T19:57:29,30.52657,-88.10209,0.0241906117985958,222.1000061035156,179,MOKIHANA,IMO7908005,WNRD,1004,5,262.1400146484375,32.439998626708984,11.600000381469728,70,,
367196000,2016-08-03T20:05:31,22.09482,-154.99026,20.77699553620274,251.6999969482422,250,MOKIHANA,IMO7908005,WNRD,1004,0,262.1400146484375,32.439998626708984,11.600000381469728,70,,
367822000,2016-08-08T14:22:23,29.46895,-89.26014,26.582085098257853,146.6999969482422,344,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367822000,2016-08-08T16:37:10,30.79952,-90.68184,16.331832365704162,255.6000061035156,344,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367822000,2016-08-08T16:47:19,30.94715,-90.67062,22.19766702880418,246.0,344,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367822000,2016-08-08T17:55:56,29.89208,-89.90176,0.0260329837378874,0.0,344,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
1193046,2016-08-24T18:17:23,30.11564,-89.80833,2.703220013094056,346.8999938964844,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2016-08-24T18:29:02,29.9419,-91.83739,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
367822000,2016-10-09T08:13:38,29.892,-89.90171,0.0,0.0,511,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
367822000,2016-10-09T08:20:32,30.43922,-90.68488,16.69312683353671,335.6000061035156,511,USNS SHUGHART,IMO7825394,NAOQ,1004,5,276.42999267578125,32.2599983215332,13.0,70,,
1193046,2017-02-24T00:51:42,29.64277,-91.10721,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,2,220.0,43.0,4.0,90,,
1193046,2017-02-24T01:02:08,40.516,-74.25097,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-02-24T01:03:09,40.516,-74.25097,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-02-24T01:04:10,29.64277,-91.10721,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,2,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T12:02:13,39.30159,-74.55555,9.230173441254667,82.0999984741211,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T12:05:23,29.65302,-91.12356,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T13:53:03,29.65302,-91.12356,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T14:25:33,39.42022,-74.27532,7.081779748797463,23.200000762939453,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T15:40:24,29.65302,-91.12356,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T16:19:33,39.62752,-74.12057,7.621831781341059,13.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T16:20:34,39.62948,-74.11942,7.621831781341059,52.29999923706055,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-05-21T16:30:13,29.65302,-91.12356,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T17:48:59,29.65257,-89.19405,4.429567746602212,25.899999618530277,511,NAUTICAST,IMO303174162,D11233,50,0,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T17:58:45,43.36233,-124.19584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T17:59:55,43.36233,-124.19584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T18:16:07,29.68369,-89.17811,4.429328769772734,21.600000381469727,511,NAUTICAST,IMO303174162,D11233,50,0,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T18:17:08,29.68483,-89.17752,4.429328769772734,24.0,511,NAUTICAST,IMO303174162,D11233,50,0,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T18:18:15,43.36233,-124.19584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
1193046,2017-06-05T18:19:16,43.36233,-124.19584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,,
