MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
238295000,2016-12-17T00:00:02,28.89355,-94.42311,-2.4698133801484383,179.89999389648438,179,VELEBIT,IMO9455741,9AA7659,1024,0,195.08999633789065,32.2400016784668,12.5,,
238295000,2016-12-17T00:02:23,29.72713,-95.22414,0.0,358.0,358,VELEBIT,IMO9455741,9AA7659,1024,5,195.08999633789065,32.2400016784668,12.5,,
538005911,2019-05-09T21:55:50,28.78709,-94.41353,11.349443744116128,1.899999976158142,4,SILVER HANNAH,IMO9682409,V7IB4,80,0,183.0,32.0,13.300000190734863,,A
538005911,2019-05-09T21:56:08,29.74087,-95.16372,0.0120090520792909,202.8000030517578,2,SILVER HANNAH,IMO9682409,V7IB4,80,5,183.0,32.0,13.300000190734863,,A
256713000,2023-04-29T10:47:59,28.71835,-94.41896,11.962025984906797,179.5,177,ZINA,IMO9486465,9HA2910,70,0,181.0,30.0,9.899999618530272,70.0,A
256713000,2023-04-29T12:32:58,29.74035,-95.11362,0.3802384244346179,163.3000030517578,48,ZINA,IMO9486465,9HA2910,70,0,181.0,30.0,9.899999618530272,70.0,A
563047700,2023-04-29T12:20:07,27.76532,-94.4236,12.609113960591438,178.60000610351562,178,MP MR TANKER1,IMO9472763,9V5439,89,0,183.0,32.0,11.300000190734863,89.0,A
563047700,2023-04-29T12:23:47,29.50745,-94.87603,11.573187573784962,146.89999389648438,146,MP MR TANKER1,IMO9472763,9V5439,89,0,183.0,32.0,11.300000190734863,89.0,A
636015161,2023-04-29T18:53:25,28.5034,-94.42974,39.43393162232733,180.3000030517578,182,BASTILLE STREET,IMO9573701,A8YZ6,80,0,179.0,32.0,12.600000381469728,80.0,A
636015161,2023-04-29T20:52:27,29.70208,-95.0141,39.43393162232733,116.3000030517578,107,BASTILLE STREET,IMO9573701,A8YZ6,80,0,179.0,32.0,12.600000381469728,80.0,A
209615000,2024-01-14T10:30:25,28.3748,-94.41632,8.282754539990744,358.20001220703125,356,ATHENS GLORY,IMO9247766,5BFZ5,71,0,300.0,40.0,9.199999809265137,71.0,A
209615000,2024-01-14T20:01:19,29.60195,-94.94863,8.282754539990744,325.79998779296875,325,ATHENS GLORY,IMO9247766,5BFZ5,71,0,300.0,40.0,9.199999809265137,71.0,A
