MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366971340,2015-04-25T20:24:20,46.73427,-92.14265,3.734539376601989,203.8999938964844,213,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-04-25T20:25:23,46.73327,-92.14307,3.4657884823971727,187.3999938964844,197,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-04-26T07:39:13,46.73349,-92.14281,3.507107071643677,19.200000762939453,10,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-04-26T07:40:14,46.73446,-92.14216,4.8779099450499706,31.700000762939453,23,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971360,2015-05-12T06:04:33,46.73434,-92.14224,2.48379832561973,208.0,216,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-05-12T06:06:01,46.73363,-92.14268,2.8895763637344283,200.5,207,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-05-12T15:13:28,46.73304,-92.14304,4.431315880433118,7.400000095367432,2,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-05-12T15:14:30,46.73426,-92.14252,4.431315880433118,21.600000381469727,16,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971350,2015-05-25T05:04:43,46.73451,-92.14184,3.281379089248907,210.8000030517578,219,PHILIP R CLARKE,IMO5277062,WDH7554,1004,0,228.3800048828125,21.3700008392334,8.029999732971191,70,
366971350,2015-05-25T05:05:53,46.73358,-92.14259,3.281379089248907,209.0,212,PHILIP R CLARKE,IMO5277062,WDH7554,1004,0,228.3800048828125,21.3700008392334,8.029999732971191,70,
366971350,2015-05-25T15:16:23,46.73319,-92.14297,2.250182156757236,17.0,17,PHILIP R CLARKE,IMO5277062,WDH7554,1004,0,228.3800048828125,21.3700008392334,8.029999732971191,70,
366971350,2015-05-25T15:17:32,46.73425,-92.14236,3.592745047908685,25.700000762939453,24,PHILIP R CLARKE,IMO5277062,WDH7554,1004,0,228.3800048828125,21.3700008392334,8.029999732971191,70,
366971360,2015-06-11T16:22:29,46.73473,-92.14201,3.260780056333944,214.6999969482422,222,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-11T16:23:31,46.73389,-92.14261,3.260780056333944,203.1000061035156,211,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-12T00:37:52,46.73379,-92.14272,4.805269404754388,13.800000190734863,13,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-12T00:38:55,46.73513,-92.14181,4.794486854375727,32.20000076293945,30,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971340,2015-06-22T16:08:06,46.73477,-92.14174,4.13795107800942,211.0,217,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-06-22T16:09:11,46.73364,-92.1425,4.13795107800942,202.0,206,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971360,2015-06-22T02:02:21,46.73477,-92.14181,2.3730968166425197,212.6000061035156,220,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-22T02:03:38,46.73401,-92.14235,2.3730968166425197,204.3999938964844,211,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-22T10:23:58,46.71922,-92.15065,4.135103577060229,79.80000305175781,76,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-06-22T11:00:07,46.74702,-92.10571,4.135103577060229,57.900001525878906,57,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971340,2015-06-23T02:00:11,46.73352,-92.14286,4.65151944422253,13.0,7,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-06-23T02:01:13,46.73473,-92.14204,4.65151944422253,29.0,23,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
316001705,2015-07-01T21:41:06,46.73445,-92.14271,1.965780418077024,201.6999969482422,193,ALGOMA NAVIGATOR,IMO6707961,VGMV,1004,0,222.17999267578125,23.170000076293945,8.829999923706055,,
316001705,2015-07-01T21:42:07,46.73391,-92.14298,1.784806549909624,196.3000030517578,188,ALGOMA NAVIGATOR,IMO6707961,VGMV,1004,0,222.17999267578125,23.170000076293945,8.829999923706055,,
316001705,2015-07-03T03:17:41,46.73392,-92.14284,2.6221748042667783,24.899999618530277,37,ALGOMA NAVIGATOR,IMO6707961,VGMV,1004,0,222.17999267578125,23.170000076293945,8.829999923706055,,
316001705,2015-07-03T03:18:47,46.7346,-92.14217,3.0955042503826045,36.20000076293945,44,ALGOMA NAVIGATOR,IMO6707961,VGMV,1004,0,222.17999267578125,23.170000076293945,8.829999923706055,,
366971360,2015-07-06T00:19:25,46.73461,-92.14198,2.55002896258943,215.1999969482422,222,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-07-06T00:20:26,46.73397,-92.14246,2.55002896258943,204.1000061035156,212,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-07-06T10:14:06,46.73409,-92.14257,3.5710397796019744,19.200000762939453,15,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-07-06T10:15:09,46.73501,-92.14186,3.5710397796019744,32.400001525878906,28,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
316001697,2015-07-21T11:44:03,46.73417,-92.14217,1.6707787482998755,204.0,198,PETER R CRESSWELL,IMO8016641,VCBZ,1004,0,222.50999450683597,23.190000534057617,8.680000305175781,,
316001697,2015-07-21T11:45:14,46.73367,-92.1425,1.6707787482998755,200.0,194,PETER R CRESSWELL,IMO8016641,VCBZ,1004,0,222.50999450683597,23.190000534057617,8.680000305175781,,
316001697,2015-07-22T04:44:42,46.73333,-92.14267,2.775488315048224,18.0,25,PETER R CRESSWELL,IMO8016641,VCBZ,1004,0,222.50999450683597,23.190000534057617,8.680000305175781,,
316001697,2015-07-22T04:45:51,46.73433,-92.14217,3.3924213976746027,23.0,32,PETER R CRESSWELL,IMO8016641,VCBZ,1004,0,222.50999450683597,23.190000534057617,8.680000305175781,,
366971360,2015-08-03T07:19:46,46.7342,-92.14218,2.2796481386010385,199.8999938964844,210,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-03T07:20:55,46.7335,-92.14247,2.2796481386010385,195.8999938964844,202,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-03T16:19:21,46.73404,-92.14243,5.160144426523706,26.299999237060547,20,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-03T16:20:25,46.73524,-92.1412,5.212789553087886,35.599998474121094,33,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-13T15:16:38,46.73451,-92.14186,2.517348320159714,211.0,217,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-13T15:17:47,46.73378,-92.14235,2.517348320159714,202.1999969482422,209,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-14T01:37:38,46.73309,-92.14289,3.206004857124237,10.600000381469728,8,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-14T01:38:48,46.73416,-92.14228,3.9739178804759736,23.200000762939453,20,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-31T11:43:16,46.73408,-92.14235,2.680935428366511,208.8999938964844,216,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-08-31T11:44:25,46.73329,-92.14283,2.680935428366511,198.8999938964844,207,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-09-01T00:48:59,46.7335,-92.14256,2.773613907191752,23.799999237060547,20,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366971360,2015-09-01T00:50:06,46.73426,-92.142,2.7550227496956112,28.100000381469727,27,JOHN G MUNSON,IMO5173670,WDH7557,1004,0,234.1699981689453,22.0,8.149999618530273,70,
366904890,2015-09-06T08:15:27,46.73415,-92.14243,2.744433337938533,207.6000061035156,214,HON JAMES L OBERSTAR,IMO5322518,WL3108,1004,0,245.67999267578125,22.920000076293945,8.479999542236328,70,
366904890,2015-09-06T08:16:37,46.73333,-92.14293,2.744433337938533,200.6000061035156,206,HON JAMES L OBERSTAR,IMO5322518,WL3108,1004,0,245.67999267578125,22.920000076293945,8.479999542236328,70,
366904890,2015-09-06T14:26:57,46.73326,-92.14299,3.096960258353905,15.100000381469728,9,HON JAMES L OBERSTAR,IMO5322518,WL3108,1004,0,245.67999267578125,22.920000076293945,8.479999542236328,70,
366904890,2015-09-06T14:28:07,46.7342,-92.14248,3.096960258353905,23.399999618530277,18,HON JAMES L OBERSTAR,IMO5322518,WL3108,1004,0,245.67999267578125,22.920000076293945,8.479999542236328,70,
366971340,2015-09-16T22:23:01,46.73435,-92.14227,4.039967946003975,204.8999938964844,215,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-09-16T22:24:04,46.73323,-92.1428,4.039967946003975,193.1000061035156,200,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
366971340,2015-09-17T16:08:08,46.73367,-92.14261,3.806558823795757,21.5,16,CASON J CALLAWAY,IMO5065392,WDH7556,1004,0,228.4499969482422,21.38999938964844,8.029999732971191,70,
