MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1193046,2017-11-01T21:20:24,29.26331,-89.9624,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
1193046,2017-11-01T21:21:28,33.09015,-79.05883,6.9050722631347465,237.1999969482422,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
1193046,2018-11-18T07:04:18,29.92488,-90.13584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T07:05:19,33.35962,-77.86905,7.787573657287748,245.0,243,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T07:07:38,33.35741,-77.87443,7.787573657287748,240.0,239,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T07:16:47,29.92488,-90.13584,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T16:49:29,32.78041,-79.25605,8.439351383756323,259.0,250,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T16:50:44,32.72368,-117.17456,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T21:03:30,29.93718,-90.32574,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-18T21:14:45,32.77708,-79.95278,2.924276938328663,302.0,306,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2018-11-18T21:15:55,32.77792,-79.9533,2.924276938328663,65.0,87,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-18T21:23:51,29.93718,-90.32574,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,52,A
1193046,2018-11-18T21:56:41,29.93266,-90.33345,7.315770096180652,257.29998779296875,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-18T21:57:52,32.77924,-79.95491,0.1997678155889949,145.0,135,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-18T21:59:09,32.7792,-79.95484,0.1997678155889949,255.0,132,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2018-11-18T22:00:01,29.93176,-90.3381,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2019-05-11T00:13:09,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,52,A
1193046,2019-05-11T00:16:43,32.77613,-79.95019,0.0,52.0,304,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,52,A
1193046,2019-05-11T00:18:32,32.77613,-79.95019,0.0,244.0,306,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,52,A
1193046,2019-05-11T00:32:08,29.55927,-90.71318,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,52,A
1193046,2019-05-11T01:47:33,32.77614,-79.95018,0.0201942326493919,318.0,305,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,36,A
1193046,2019-05-11T02:19:09,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-11T03:42:18,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-11T04:03:13,32.77614,-79.9502,0.0,320.0,304,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,3.0,52,A
1193046,2019-05-11T06:42:49,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-11T06:43:52,32.77613,-79.95019,0.0,262.0,305,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
