MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367518920,2015-07-02T16:17:48,29.75772,-93.89254,8.624507871292103,288.20001220703125,295,AMERICAN PHOENIX,IMO9564578,WDG2754,1024,0,188.0,32.20000076293945,11.0,,
367518920,2015-07-02T16:59:59,29.84469,-93.95168,8.624507871292103,22.5,23,AMERICAN PHOENIX,IMO9564578,WDG2754,1024,0,188.0,32.20000076293945,11.0,,
338219000,2015-07-18T16:17:55,29.83228,-93.95393,9.63894663757403,191.5,204,LIBERTY GRACE,IMO9228148,WADN,1004,5,190.0,32.2599983215332,11.920000076293944,70.0,
338219000,2015-07-18T17:00:03,29.74973,-93.88344,10.170725310534788,144.89999389648438,149,LIBERTY GRACE,IMO9228148,WADN,1004,5,190.0,32.2599983215332,11.920000076293944,70.0,
538090116,2015-08-24T03:40:02,29.60199,-93.7514,0.0469583259304794,265.8999938964844,186,AMBER LAGOON,IMO9138123,V7FS4,1004,0,192.0,26.700000762939453,11.399999618530272,70.0,
538090116,2015-08-24T23:59:59,29.83805,-93.95648,-0.0005126664613495,271.20001220703125,183,AMBER LAGOON,IMO9138123,V7FS4,1004,0,192.0,26.700000762939453,11.399999618530272,70.0,
240941000,2015-09-27T21:01:19,29.74673,-93.88145,7.351949330487205,327.0,330,KRITI RUBY,IMO9391282,SVAT5,1024,1,183.08999633789065,32.20000076293945,13.020000457763672,81.0,
240941000,2015-09-27T22:00:11,29.85397,-93.94383,7.351949330487205,41.0,31,KRITI RUBY,IMO9391282,SVAT5,1024,1,183.08999633789065,32.20000076293945,13.020000457763672,81.0,
249746000,2015-11-20T16:01:11,29.83162,-93.9541,6.713077914894895,191.0,199,SEAMUSIC,IMO9407445,9HZL9,1024,0,249.97000122070312,44.040000915527344,14.800000190734863,,
249746000,2015-11-20T17:00:01,29.73445,-93.87055,7.412689610777478,143.0,147,SEAMUSIC,IMO9407445,9HZL9,1024,0,249.97000122070312,44.040000915527344,14.800000190734863,,
636015153,2015-12-01T16:12:37,29.75614,-93.88964,8.175591699413124,301.8999938964844,298,AS ELBIA,IMO9485887,A8YY4,1004,0,180.00999450683594,30.0,9.0,,
636015153,2015-12-01T17:00:06,29.8522,-93.9459,8.175591699413124,40.400001525878906,39,AS ELBIA,IMO9485887,A8YY4,1004,0,180.00999450683594,30.0,9.0,,
1193046,2016-03-14T13:13:15,29.26332,-89.96228,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50.0,
