MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368707000,2016-12-03T20:41:04,39.88879,-75.18403,0.0,0.0,511,WATSON,IMO9112727,NHLS,1004,5,289.5599975585937,32.22999954223633,10.399999618530272,79,
368707000,2016-12-03T21:39:59,40.36456,-75.97906,36.04686667020628,177.10000610351562,511,WATSON,IMO9112727,NHLS,1004,5,289.5599975585937,32.22999954223633,10.399999618530272,79,
1193046,2017-01-05T23:45:20,29.11233,-90.19359,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
1193046,2017-01-05T23:56:54,40.64227,-74.14957,4.965348552695273,272.70001220703125,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,
368939000,2017-10-23T16:03:43,39.89318,-75.19139,1.8478315645531005,66.80000305175781,74,USS PONCE,,NSBJ,1018,0,163.7100067138672,,,,
368939000,2017-10-23T16:04:54,39.89336,-75.1907,1.3155763746093878,69.5,72,USS PONCE,,NSBJ,1018,0,163.7100067138672,,,,
1193046,2019-04-12T17:17:10,40.69349,-74.03039,8.098031342694858,251.3999938964844,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-12T17:28:40,29.46682,-90.31229,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-12T17:33:31,29.46682,-90.31229,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-12T17:34:39,40.69012,-74.03504,8.422828250291907,66.5,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-20T19:52:22,40.69243,-74.03208,10.84412982189604,244.8999938964844,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-20T19:53:34,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-20T19:54:44,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-20T19:56:42,40.68587,-74.04247,1.1025564653494806,210.3000030517578,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-04-21T19:24:24,29.46673,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-04-21T19:26:57,40.69534,-74.02869,9.304197319075,245.1999969482422,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-18T22:46:26,29.46677,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-18T22:56:09,40.68864,-74.03831,8.801044621365437,56.29999923706055,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-05-23T15:51:26,29.46677,-90.31233,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-05-23T15:52:29,40.69133,-74.03448,9.434648967592706,64.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-07-14T01:00:04,40.70106,-74.01932,6.51250342529359,320.5,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-14T01:20:15,29.46678,-90.31237,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-20T17:01:01,29.46677,-90.31232,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-20T17:18:10,40.68646,-74.04122,8.166862702394575,47.59999847412109,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-21T20:37:20,40.6861,-74.04064,2.3326473896663638,154.5,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-21T20:43:51,29.46677,-90.31232,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,50,A
1193046,2019-07-28T16:14:04,40.6849,-74.04372,1.7806027591616302,194.1999969482422,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
1193046,2019-07-28T16:23:51,29.46677,-90.31232,0.0,0.0,511,NAUTICAST,IMO303174162,D11233,50,7,220.0,43.0,-0.800000011920929,60,A
