MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
255804340,2015-01-03T23:02:44,40.6962,-74.1215,5.212148608162555,24.600000381469727,25,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-01-03T23:03:55,40.69777,-74.12059,4.536047972481955,24.399999618530277,29,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-01-04T12:43:38,40.6989,-74.11955,8.326465822026984,206.8000030517578,207,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-01-04T12:44:48,40.69588,-74.12155,11.338989449603709,207.0,207,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-07-01T23:53:43,40.69582,-74.12188,5.695329044035799,27.399999618530277,26,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-07-01T23:54:54,40.69736,-74.12079,4.46828127590769,27.600000381469727,27,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-07-02T12:36:22,40.69666,-74.12126,5.742824346609822,209.3000030517578,207,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
255804340,2015-07-02T12:37:33,40.69491,-74.12251,6.186850748800488,208.5,205,HARBOUR PIONEER,IMO9572757,CQNZ,1024,0,161.67999267578125,23.030000686645508,9.0,,
636091637,2015-07-20T03:21:28,40.67151,-74.14057,15.677609280590168,261.0,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:00:02,40.80133,-74.0002,15.677609280590168,117.0999984741211,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:00:02,40.80133,-74.0002,15.677609280590168,117.0999984741211,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:09:37,40.67161,-74.14048,0.228532719086771,348.0,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:18:38,40.67161,-74.14052,0.2235509810352264,223.0,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:20:55,40.76819,-74.02933,21.473672828197863,47.79999923706055,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:24:24,40.77909,-74.02106,1.7728451339688678,42.0,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
636091637,2015-07-20T04:25:25,40.67143,-74.14048,0.2405983340149527,356.0,28,CS DISCOVERY,IMO9219355,A8QR9,1004,5,220.3500061035156,32.29999923706055,12.149999618530272,73.0,
255804290,2015-08-09T21:05:15,40.69512,-74.12232,4.788327636280783,28.0,29,HARBOUR PROGRESS,IMO9572745,CQNY,1024,0,161.67999267578125,23.0,8.979999542236328,,
255804290,2015-08-09T21:06:16,40.69632,-74.12153,5.360958209804798,27.399999618530277,30,HARBOUR PROGRESS,IMO9572745,CQNY,1024,0,161.67999267578125,23.0,8.979999542236328,,
255804290,2015-08-10T08:56:22,40.69688,-74.12123,6.573181053252294,206.6999969482422,205,HARBOUR PROGRESS,IMO9572745,CQNY,1024,0,161.67999267578125,23.0,8.979999542236328,,
