MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366698000,2015-02-04T11:40:32,32.86141,-79.89815,1.8159998332374592,55.59999847412109,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-04T11:41:40,32.86138,-79.89861,1.8463658122829647,55.900001525878906,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-06T04:02:17,32.86021,-79.89535,6.172408053760646,297.8999938964844,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-06T04:03:26,32.85992,-79.89767,6.172408053760646,299.8999938964844,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-10T11:19:46,32.85884,-79.89511,4.180483683407262,0.0,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-10T11:20:54,32.8598,-79.89404,4.180483683407262,51.5,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-11T04:30:25,32.86068,-79.89727,0.0,0.0,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366698000,2015-02-11T04:33:56,32.82654,-79.91466,0.0,0.0,511,CAPE DECISION,IMO7310911,WMGD,10,15,207.0,30.0,8.0,10,
366716000,2016-01-09T14:56:26,32.8499,-79.93846,0.0,315.0,54,CAPE DIAMOND,IMO7208443,WMHJ,1004,5,207.3999938964844,29.6200008392334,9.899999618530272,70,
366716000,2016-01-09T15:00:50,32.8639,-79.88562,0.0,0.0,54,CAPE DIAMOND,IMO7208443,WMHJ,1004,5,207.3999938964844,29.6200008392334,9.899999618530272,70,
366698000,2017-08-22T15:43:46,32.8802,-79.90874,0.0,0.0,511,CAPE DECISION,IMO7310911,WMGD,0,15,207.0,30.0,0.0,0,
